series,value,grid_x,density
original_kde,,10.026845637583893,0.012542725527758236
original_kde,,10.14765100671141,0.01239458622908246
original_kde,,10.268456375838927,0.012265490981407199
original_kde,,10.389261744966444,0.012153821861991505
original_kde,,10.51006711409396,0.012058011654698293
original_kde,,10.630872483221477,0.01197654920984684
original_kde,,10.751677852348994,0.011907984325526269
original_kde,,10.87248322147651,0.01185093212478822
original_kde,,10.993288590604028,0.011804076904849315
original_kde,,11.114093959731544,0.011766175436648553
original_kde,,11.234899328859061,0.011736059695819446
original_kde,,11.355704697986578,0.01171263900933655
original_kde,,11.476510067114095,0.011694901605757951
original_kde,,11.597315436241612,0.01168191556107399
original_kde,,11.718120805369129,0.011672829136643826
original_kde,,11.838926174496645,0.011666870510502513
original_kde,,11.959731543624162,0.01166334690839077
original_kde,,12.080536912751679,0.011661643146129096
original_kde,,12.201342281879196,0.011661219600353963
original_kde,,12.322147651006713,0.011661609630077478
original_kde,,12.44295302013423,0.011662416476941277
original_kde,,12.563758389261746,0.011663309677327812
original_kde,,12.684563758389263,0.01166402102458281
original_kde,,12.80536912751678,0.01166434012440935
original_kde,,12.926174496644295,0.011664109590936668
original_kde,,13.046979865771812,0.011663219934969195
original_kde,,13.167785234899329,0.011661604199412832
original_kde,,13.288590604026846,0.011659232399792075
original_kde,,13.409395973154362,0.011656105830057151
original_kde,,13.53020134228188,0.011652251295487286
original_kde,,13.651006711409396,0.011647715335387415
original_kde,,13.771812080536913,0.011642558498423291
original_kde,,13.89261744966443,0.011636849732829002
original_kde,,14.013422818791947,0.011630660952346049
original_kde,,14.134228187919463,0.011624061836621472
original_kde,,14.25503355704698,0.011617114921923667
original_kde,,14.375838926174497,0.011609871034457257
original_kde,,14.496644295302014,0.011602365114315076
original_kde,,14.61744966442953,0.011594612473247091
original_kde,,14.738255033557047,0.01158660552401399
original_kde,,14.859060402684564,0.011578311013198317
original_kde,,14.979865771812081,0.011569667783044866
original_kde,,15.100671140939598,0.011560585081280198
original_kde,,15.221476510067115,0.011550941431007168
original_kde,,15.342281879194632,0.011540584065778105
original_kde,,15.463087248322148,0.011529328927915028
original_kde,,15.583892617449665,0.011516961221163502
original_kde,,15.704697986577182,0.011503236501934449
original_kde,,15.825503355704699,0.011487882286798121
original_kde,,15.946308724832216,0.011470600147637424
original_kde,,16.06711409395973,0.011451068260027421
original_kde,,16.187919463087248,0.011428944365063242
original_kde,,16.308724832214764,0.011403869100080248
original_kde,,16.42953020134228,0.011375469649559792
original_kde,,16.550335570469798,0.01134336366404439
original_kde,,16.671140939597315,0.01130716339213877
original_kde,,16.79194630872483,0.011266479968679934
original_kde,,16.91275167785235,0.011220927800938906
original_kde,,17.033557046979865,0.011170128994278404
original_kde,,17.154362416107382,0.011113717759029394
original_kde,,17.2751677852349,0.011051344741452147
original_kde,,17.395973154362416,0.01098268122348617
original_kde,,17.516778523489933,0.010907423138533634
original_kde,,17.63758389261745,0.010825294853714536
original_kde,,17.758389261744966,0.010736052672825217
original_kde,,17.879194630872483,0.010639488018560385
original_kde,,18.0,0.010535430257353396
standard_kde,,0.0,0.4350190995092783
standard_kde,,0.12080536912751678,0.3832762104413402
standard_kde,,0.24161073825503357,0.32802199047795166
standard_kde,,0.36241610738255037,0.2734297837031201
standard_kde,,0.48322147651006714,0.22286991156197122
standard_kde,,0.6040268456375839,0.1786951815786021
